Switching to IMU channel 1,,,,,,,,,,
20:08.3,1,0.078,0.902,9.611,-5.009,5.774,-7.513,-0.366,-0.231,-0.034
20:08.4,1,0.078,0.745,9.375,-5.774,6.122,-6.817,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:08.5,0,0.078,3.138,9.454,0.209,-15.513,-2.713,-0.266,-0.336,0.158
20:08.5,0,0.039,3.02,9.493,-2.365,-17.183,-0.557,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:08.6,1,-0.039,0.785,9.767,-8,3.409,-13.913,-0.366,-0.231,-0.034
20:08.7,1,0.039,0.745,9.493,-7.722,3.13,-8.348,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:08.8,0,0.078,2.981,9.454,0.904,-11.13,-3.339,-0.266,-0.336,0.158
20:08.9,0,0.039,2.942,9.336,1.67,-15.443,-5.357,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:09.0,1,0.039,0.785,9.414,-8,2.991,-8.417,-0.366,-0.231,-0.034
20:09.1,1,0.078,0.785,9.493,-4.313,10.922,-4.8,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:09.2,0,0,3.06,9.493,-0.765,-22.191,-0.626,-0.266,-0.336,0.158
20:09.3,0,0.118,3.099,9.336,-1.739,-12.383,-1.948,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:09.4,1,0,0.981,9.375,-4.8,11.2,-8.974,-0.366,-0.231,-0.034
20:09.5,1,-0.039,0.745,9.571,-6.678,3.061,-6.33,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:09.6,0,0.078,2.981,9.297,-1.6,-17.67,-1.461,-0.266,-0.336,0.158
20:09.7,0,0.118,3.02,9.454,-1.461,-14.4,-0.835,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:09.8,1,0,0.785,9.414,-5.148,13.217,-8.765,-0.366,-0.231,-0.034
20:09.9,1,-0.039,0.745,9.65,-4.661,-5.287,-7.026,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:10.0,0,0.118,3.02,9.414,-1.322,-20.8,-1.183,-0.266,-0.336,0.158
20:10.1,0,0.039,2.981,9.297,1.809,-5.565,-3.826,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:10.2,1,-0.078,0.706,9.532,-4.452,5.913,-9.461,-0.366,-0.231,-0.034
20:10.3,1,0,0.785,9.689,-5.704,1.113,-6.47,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:10.4,0,0,3.138,9.493,0.139,-14.052,-2.087,-0.266,-0.336,0.158
20:10.5,0,0.039,3.06,9.493,-2.852,-17.6,-4.383,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:10.6,1,0.039,0.824,9.571,-32.417,-28.104,-23.235,-0.366,-0.231,-0.034
20:10.7,1,0.157,0.745,9.728,1.739,39.235,-0.765,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:10.8,0,-0.078,2.981,9.571,11.896,17.739,-19.061,-0.266,-0.336,0.158
20:10.9,0,0.039,3.02,9.375,-2.157,-22.47,2.017,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:11.0,1,0,0.745,9.689,-9.252,-4.939,12.591,-0.366,-0.231,-0.034
20:11.1,1,0.078,0.824,9.336,12.313,-2.574,29.774,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:11.2,0,-0.314,2.981,9.257,4.661,-20.243,-12.661,-0.266,-0.336,0.158
20:11.3,0,-0.196,3.02,9.414,-7.583,-36.661,3.548,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:11.4,1,0.314,0.902,9.728,-4.939,5.217,-10.017,-0.366,-0.231,-0.034
20:11.5,1,0.275,0.785,9.611,-4.73,12.243,1.739,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:11.6,0,-0.275,3.06,9.375,-0.904,-17.043,0.278,-0.266,-0.336,0.158
